order_id,customer_id,product_id,order_date,delivery_date,payment_type,price,discount_percent,quantity,shipping_region,expected_delivery_days,product_rating,product_category,product_subcategory,brand,loyalty_points,is_first_order,device_type,referral
O000103,C00005,P00094,2024-01-02 16:00:00,2024-01-09 16:00:00,CreditCard,2757.14,46.06,1,East,7,1.1,Electronics,Headphones,Apple,230,False,Desktop,Organic
O000104,C00174,P00620,2024-01-18 18:00:00,2024-01-27 18:00:00,CreditCard,1238.85,45.36,2,South,9,4.5,Beauty,Fragrance,Apple,398,False,Mobile,Organic
O000105,C01664,P00833,2024-08-27 23:00:00,2024-09-03 23:00:00,UPI,3931.77,15.16,1,West,7,2.8,Home,Furniture,Adidas,222,False,Tablet,CampaignA
O000106,C01464,P00951,2023-09-14 14:00:00,2023-09-23 14:00:00,COD,1929.42,32.65,4,West,9,2.6,Beauty,Skincare,Sony,430,False,Tablet,SocialMedia
O000107,C02522,P00332,2024-12-06 04:00:00,2024-12-13 04:00:00,CreditCard,1842.4,18.04,2,South,7,4.1,Electronics,Laptops,Samsung,185,False,Mobile,Organic
O000108,C02147,P00794,2025-08-26 19:00:00,2025-09-05 19:00:00,DebitCard,415.16,36.39,3,South,10,2.9,Electronics,Cameras,Philips,37,False,Tablet,CampaignA
O000109,C02981,P00788,2023-08-26 05:00:00,2023-08-31 05:00:00,COD,3194.91,41.21,1,North,5,4.7,Apparel,Dresses,LG,294,False,Mobile,CampaignA
O000110,C01342,P00229,2024-09-15 04:00:00,2024-09-17 04:00:00,UPI,3198.12,0.55,3,South,2,1.1,Beauty,Fragrance,Nike,1,False,Desktop,Organic
O000111,C00973,P00479,2024-09-25 19:00:00,2024-10-05 19:00:00,DebitCard,4056.93,49.19,3,North,10,2.6,Sports,Outdoor,LG,227,False,Tablet,CampaignA
O000112,C02266,P00456,2023-11-27 07:00:00,2023-12-04 07:00:00,DebitCard,2586.68,30.84,3,West,7,4.9,Beauty,Haircare,Adidas,235,False,Mobile,SocialMedia
O000113,C01002,P00243,2025-03-12 06:00:00,2025-03-22 06:00:00,UPI,4793.41,14.84,3,East,10,3.5,Apparel,Shoes,Sony,124,False,Mobile,Organic
O000114,C01488,P00076,2025-07-29 12:00:00,2025-08-01 12:00:00,UPI,3070.72,2.19,2,North,3,4.5,Beauty,Skincare,Nike,446,True,Desktop,CampaignA
O000115,C01896,P00131,2023-08-11 10:00:00,2023-08-16 10:00:00,COD,850.66,17.44,4,South,5,2.6,Home,Furniture,Sony,170,False,Tablet,CampaignB
O000116,C01021,P00701,2024-01-03 09:00:00,2024-01-11 09:00:00,Wallet,2623.84,21.39,1,North,8,3.0,Sports,Accessories,Sony,207,True,Tablet,CampaignA
O000117,C00716,P00941,2024-10-09 07:00:00,2024-10-13 07:00:00,COD,1056.17,6.56,3,North,4,4.8,Apparel,Dresses,Sony,127,False,Mobile,Organic
O000118,C01319,P00832,2025-04-10 14:00:00,2025-04-16 14:00:00,UPI,3918.49,11.48,2,West,6,4.4,Electronics,Smartphones,L'Oreal,181,False,Desktop,Organic
O000119,C02279,P00785,2024-09-18 16:00:00,2024-09-24 16:00:00,COD,2902.22,8.12,2,West,6,2.6,Beauty,Fragrance,L'Oreal,198,False,Desktop,SocialMedia
O000120,C00066,P00786,2025-03-09 00:00:00,2025-03-12 00:00:00,CreditCard,4422.63,13.86,2,East,3,3.3,Home,Decor,Sony,184,False,Tablet,Organic
O000121,C00545,P00896,2024-02-12 12:00:00,2024-02-15 12:00:00,DebitCard,2248.21,11.98,4,North,3,3.7,Electronics,Cameras,LG,485,False,Desktop,Organic
O000122,C02657,P00685,2025-05-24 15:00:00,2025-05-31 15:00:00,UPI,1608.44,42.64,4,East,7,4.5,Sports,Outdoor,Apple,484,False,Tablet,Organic
O000123,C00666,P00272,2023-09-15 04:00:00,2023-09-19 04:00:00,Wallet,1436.56,21.44,1,South,4,4.8,Apparel,Dresses,Sony,260,False,Mobile,SocialMedia
O000124,C01669,P00535,2025-06-20 20:00:00,2025-06-27 20:00:00,COD,835.58,1.32,4,North,7,2.6,Apparel,Dresses,Philips,102,False,Tablet,SocialMedia
O000125,C00669,P00114,2024-02-08 14:00:00,2024-02-14 14:00:00,DebitCard,1167.48,22.92,2,West,6,4.5,Beauty,Fragrance,L'Oreal,424,False,Desktop,CampaignA
O000126,C02980,P00463,2025-03-07 00:00:00,2025-03-12 00:00:00,UPI,624.7,28.39,1,South,5,1.2,Home,Kitchen,Apple,133,False,Tablet,SocialMedia
O000127,C02792,P00913,2025-07-06 07:00:00,2025-07-13 07:00:00,Wallet,4240.26,2.52,2,East,7,1.7,Sports,TeamSports,Philips,271,False,Mobile,CampaignB
O000128,C01855,P00065,2024-02-06 02:00:00,2024-02-09 02:00:00,DebitCard,3168.26,45.25,3,South,3,2.9,Beauty,Makeup,L'Oreal,493,False,Tablet,Organic
O000129,C00789,P00604,2025-02-02 06:00:00,2025-02-06 06:00:00,UPI,2134.66,6.55,4,North,4,1.9,Sports,Outdoor,Sony,172,False,Mobile,Organic
O000130,C00933,P00476,2023-11-01 22:00:00,2023-11-07 22:00:00,DebitCard,1177.48,36.36,2,East,6,4.8,Apparel,Shirts,Philips,470,False,Desktop,Organic
O000131,C02002,P00238,2025-03-10 11:00:00,2025-03-16 11:00:00,DebitCard,623.23,42.45,3,North,6,1.2,Sports,Outdoor,Apple,202,True,Desktop,CampaignA
O000132,C01353,P00178,2025-05-16 03:00:00,2025-05-19 03:00:00,DebitCard,2667.84,5.09,4,South,3,2.2,Beauty,Haircare,L'Oreal,310,False,Tablet,CampaignA
O000133,C01221,P00011,2025-07-18 09:00:00,2025-07-26 09:00:00,Wallet,4040.71,16.4,3,East,8,3.0,Home,Furniture,Adidas,185,False,Desktop,CampaignA
O000134,C00701,P00155,2023-07-25 20:00:00,2023-07-29 20:00:00,COD,3256.77,24.65,3,East,4,3.4,Sports,TeamSports,Adidas,245,False,Desktop,SocialMedia
O000135,C02076,P00877,2023-07-15 13:00:00,2023-07-22 13:00:00,COD,2730.76,20.3,3,North,7,3.9,Home,Kitchen,Sony,193,False,Desktop,Organic
O000136,C02442,P00752,2025-05-11 13:00:00,2025-05-15 13:00:00,UPI,2082.05,38.76,2,North,4,2.5,Apparel,Shoes,Apple,119,False,Mobile,SocialMedia
O000137,C02994,P00205,2024-01-09 10:00:00,2024-01-14 10:00:00,COD,3240.34,29.92,2,South,5,1.5,Home,Furniture,Philips,96,False,Desktop,CampaignA
O000138,C01157,P00639,2023-06-26 16:00:00,2023-07-04 16:00:00,DebitCard,4570.57,44.31,1,West,8,1.2,Beauty,Makeup,Sony,3,False,Desktop,SocialMedia
O000139,C02705,P00549,2024-06-07 08:00:00,2024-06-09 08:00:00,CreditCard,520.36,45.05,3,South,2,1.2,Beauty,Fragrance,Samsung,272,False,Tablet,Organic
O000140,C01934,P00379,2023-01-20 05:00:00,2023-01-27 05:00:00,Wallet,2033.81,36.31,1,South,7,4.5,Sports,TeamSports,Nike,71,False,Mobile,CampaignA
O000141,C01539,P00369,2025-05-05 15:00:00,2025-05-10 15:00:00,COD,2099.27,34.09,1,East,5,2.1,Electronics,Smartphones,Nike,179,False,Desktop,CampaignB
O000142,C02541,P00451,2023-05-21 05:00:00,2023-05-29 05:00:00,Wallet,4629.07,32.31,4,East,8,2.3,Apparel,Dresses,Adidas,279,False,Mobile,CampaignA
O000143,C02960,P00334,2023-03-04 10:00:00,2023-03-10 10:00:00,UPI,3825.96,28.29,4,West,6,1.5,Electronics,Cameras,Philips,18,False,Tablet,Organic
O000144,C02237,P00020,2024-08-15 02:00:00,2024-08-19 02:00:00,UPI,4946.84,22.32,1,West,4,4.8,Home,Kitchen,LG,493,True,Desktop,CampaignB
O000145,C00821,P00474,2023-08-14 02:00:00,2023-08-22 02:00:00,CreditCard,491.34,24.11,3,South,8,3.4,Beauty,Fragrance,Nike,176,False,Mobile,CampaignB
O000146,C02081,P00841,2023-10-16 08:00:00,2023-10-18 08:00:00,Wallet,492.87,22.3,2,South,2,3.9,Apparel,Shirts,Sony,368,False,Mobile,Organic
O000147,C02554,P00691,2025-08-28 21:00:00,2025-08-30 21:00:00,DebitCard,3486.8,25.14,1,East,2,2.1,Beauty,Makeup,Sony,145,False,Tablet,CampaignA
O000148,C02352,P00606,2025-03-21 21:00:00,2025-03-23 21:00:00,CreditCard,3887.3,43.21,4,North,2,1.8,Electronics,Headphones,L'Oreal,255,False,Mobile,CampaignA
O000149,C02856,P00004,2024-07-23 00:00:00,2024-08-01 00:00:00,DebitCard,3832.4,44.79,2,North,9,1.2,Beauty,Skincare,Nike,35,False,Tablet,Organic
O000150,C00980,P00886,2024-10-09 17:00:00,2024-10-13 17:00:00,COD,3421.99,11.44,3,North,4,4.6,Beauty,Haircare,Levis,151,False,Desktop,SocialMedia
O000151,C02307,P00975,2025-06-22 09:00:00,2025-06-25 09:00:00,Wallet,2643.76,42.98,3,East,3,2.1,Electronics,Cameras,Adidas,276,True,Tablet,CampaignB
O000152,C00389,P00221,2024-07-25 20:00:00,2024-07-28 20:00:00,Wallet,714.49,18.35,2,North,3,4.1,Sports,Accessories,LG,226,False,Desktop,CampaignA
