customer_id,join_date,age,gender,location,preferred_payment,total_orders,total_returns,avg_order_value
C00075,2023-10-22,56,Female,Mumbai,DebitCard,30,16,1241.94
C00076,2022-08-13,46,Female,Hyderabad,Wallet,8,19,2472.79
C00077,2024-01-18,53,Male,Hyderabad,Wallet,19,5,2780.55
C00078,2023-12-22,55,Male,Bangalore,UPI,59,0,2721.23
C00079,2021-05-23,56,Male,Mumbai,Wallet,55,6,2784.0
C00080,2022-02-14,54,Female,Hyderabad,DebitCard,30,14,2750.86
C00081,2020-02-04,52,Male,Kolkata,COD,79,6,1723.51
C00082,2020-07-24,24,Male,Kolkata,DebitCard,36,18,892.42
C00083,2023-01-09,44,Female,Delhi,CreditCard,55,19,2454.73
C00084,2024-05-04,45,Female,Bangalore,Wallet,44,10,877.03
C00085,2023-11-12,39,Male,Chennai,Wallet,27,13,1021.46
C00086,2022-10-22,31,Male,Delhi,Wallet,77,12,929.79
C00087,2022-10-18,24,Female,Mumbai,Wallet,78,19,1690.45
C00088,2023-11-14,54,Female,Hyderabad,UPI,54,8,1168.93
C00089,2021-07-19,39,Male,Delhi,UPI,48,8,716.22
C00090,2023-02-03,22,Female,Chennai,COD,30,15,1523.57
C00091,2024-11-30,19,Female,Chennai,Wallet,39,11,2659.55
C00092,2024-02-09,44,Male,Kolkata,CreditCard,13,9,1840.49
C00093,2021-12-03,38,Male,Mumbai,COD,16,5,2671.51
C00094,2021-02-05,55,Female,Delhi,Wallet,44,17,828.85
C00095,2021-12-30,32,Female,Bangalore,UPI,71,1,750.83
C00096,2024-04-28,38,Male,Delhi,CreditCard,27,19,1854.06
C00097,2020-06-10,27,Female,Kolkata,COD,45,8,1550.99
C00098,2020-07-20,40,Female,Chennai,CreditCard,35,18,2082.47
C00099,2022-09-22,56,Male,Mumbai,Wallet,79,5,2445.49
C00100,2020-09-26,22,Female,Mumbai,DebitCard,28,1,2328.53
C00101,2022-03-26,18,Female,Bangalore,CreditCard,99,14,2844.11
C00102,2023-07-18,30,Male,Mumbai,CreditCard,7,16,1375.29
C00103,2021-03-31,38,Male,Kolkata,UPI,62,15,857.24
C00104,2024-01-25,43,Male,Kolkata,Wallet,51,7,1787.46
C00105,2024-10-16,62,Female,Kolkata,CreditCard,46,9,599.01
C00106,2023-06-29,38,Other,Mumbai,Wallet,20,9,1079.9
C00107,2022-10-13,35,Male,Mumbai,UPI,96,17,861.3
C00108,2024-09-21,54,Female,Kolkata,Wallet,38,9,1370.72
C00109,2020-10-22,62,Female,Mumbai,UPI,61,8,600.28
C00110,2024-10-14,49,Female,Mumbai,UPI,32,18,385.97
C00111,2021-12-20,53,Male,Chennai,COD,26,0,2073.34
C00112,2024-11-07,34,Male,Delhi,Wallet,58,3,1947.67
C00113,2020-12-03,52,Male,Hyderabad,DebitCard,39,2,2212.57
C00114,2022-05-28,28,Female,Mumbai,COD,20,9,2083.04
C00115,2022-12-12,38,Male,Hyderabad,UPI,82,11,608.6
C00116,2022-03-02,43,Female,Hyderabad,DebitCard,50,17,1085.91
C00117,2020-08-04,21,Male,Chennai,CreditCard,79,19,649.72
C00118,2022-02-02,51,Male,Mumbai,CreditCard,52,5,2576.03
C00119,2020-07-06,35,Female,Kolkata,COD,86,1,2316.64
C00120,2021-01-14,57,Female,Hyderabad,DebitCard,22,9,844.12
C00121,2021-05-07,52,Male,Mumbai,Wallet,53,1,1221.53
C00122,2022-11-30,58,Male,Bangalore,DebitCard,85,8,2909.86
C00123,2023-03-26,46,Other,Kolkata,COD,66,9,1904.23
C00124,2020-01-15,46,Male,Bangalore,Wallet,43,1,2463.12
C00125,2020-03-05,55,Male,Bangalore,Wallet,82,7,1014.4
C00126,2021-06-04,59,Female,Hyderabad,CreditCard,23,16,867.14
C00127,2023-09-29,38,Male,Bangalore,DebitCard,77,16,2416.58
C00128,2023-02-26,59,Male,Chennai,Wallet,64,3,2151.86
C00129,2021-10-09,30,Male,Chennai,COD,9,17,2138.64
C00130,2024-02-04,58,Male,Hyderabad,CreditCard,7,11,1792.11
C00131,2022-12-22,34,Male,Mumbai,Wallet,41,16,1821.66
C00132,2023-03-08,26,Male,Delhi,DebitCard,54,8,2286.38
C00133,2024-03-02,58,Male,Mumbai,CreditCard,65,18,1029.01
C00134,2021-08-15,18,Male,Mumbai,DebitCard,2,13,1252.47
C00135,2021-01-26,19,Female,Mumbai,DebitCard,4,13,2653.42
C00136,2024-08-25,46,Male,Mumbai,DebitCard,78,16,1133.94
C00137,2021-02-22,50,Male,Kolkata,CreditCard,32,1,1775.04
C00138,2020-10-15,27,Female,Delhi,Wallet,2,7,2197.13
C00139,2021-01-13,57,Female,Kolkata,UPI,64,4,2999.8
C00140,2024-12-01,38,Male,Bangalore,Wallet,14,6,1475.29
C00141,2024-02-22,45,Female,Mumbai,CreditCard,20,15,1455.85
C00142,2020-08-18,28,Male,Chennai,UPI,89,15,2574.99
C00143,2022-10-14,51,Male,Hyderabad,UPI,49,16,2474.86
C00144,2020-02-10,25,Female,Hyderabad,UPI,8,6,2273.9
C00145,2022-11-17,39,Female,Kolkata,COD,92,19,1550.72
C00146,2020-05-14,25,Male,Kolkata,CreditCard,63,7,1174.64
C00147,2020-07-19,32,Male,Chennai,COD,46,7,1943.57
C00148,2022-02-18,34,Female,Mumbai,UPI,21,10,2665.8
C00149,2022-07-18,40,Male,Delhi,COD,87,14,2686.2
C00150,2022-11-22,41,Female,Bangalore,COD,32,17,592.95
C00151,2022-12-07,62,Male,Hyderabad,CreditCard,8,5,1456.55
C00152,2021-05-17,36,Female,Bangalore,DebitCard,95,11,1554.75
C00153,2021-02-10,22,Female,Delhi,COD,16,14,2939.56
C00154,2024-05-16,49,Female,Kolkata,COD,40,5,2130.59
C00155,2024-10-17,61,Female,Hyderabad,UPI,27,17,1399.57
C00156,2022-03-15,18,Female,Bangalore,UPI,18,19,370.36
C00157,2020-04-08,40,Male,Kolkata,UPI,35,8,1826.54
C00158,2021-11-14,54,Male,Delhi,Wallet,52,7,559.41
C00159,2021-12-26,25,Male,Bangalore,COD,15,13,2553.01
C00160,2024-04-19,30,Female,Mumbai,UPI,63,18,2331.8
C00161,2022-08-18,25,Female,Kolkata,CreditCard,53,18,1543.37
C00162,2024-10-28,40,Male,Delhi,Wallet,91,7,1458.87
C00163,2021-09-04,60,Male,Bangalore,DebitCard,81,1,2722.82
C00164,2024-01-25,18,Male,Mumbai,COD,66,3,1078.84
C00165,2021-10-04,62,Female,Mumbai,COD,31,5,972.35
C00166,2024-11-27,41,Male,Delhi,CreditCard,61,2,2835.83
C00167,2022-10-25,52,Female,Chennai,DebitCard,64,2,2484.96
C00168,2023-05-26,41,Other,Hyderabad,DebitCard,98,18,2515.69
C00169,2021-05-17,34,Male,Delhi,Wallet,34,10,827.02
C00170,2022-02-05,22,Male,Mumbai,COD,55,9,686.9
C00171,2021-02-01,37,Male,Mumbai,UPI,59,11,370.28
C00172,2022-05-20,38,Male,Delhi,CreditCard,3,13,940.01
C00173,2022-03-05,57,Male,Chennai,CreditCard,17,17,2390.31
C00174,2021-01-27,48,Male,Hyderabad,CreditCard,78,8,948.1
C00175,2020-07-25,63,Female,Bangalore,CreditCard,78,14,2268.58
C00176,2022-11-04,53,Male,Delhi,UPI,46,2,980.15
C00177,2024-04-26,28,Female,Hyderabad,UPI,38,10,1367.29
C00178,2022-06-10,32,Female,Hyderabad,Wallet,35,9,2954.54
C00179,2024-01-24,36,Female,Kolkata,COD,1,17,960.99
C00180,2024-09-10,24,Male,Mumbai,UPI,29,3,1316.2
C00181,2024-05-17,45,Female,Bangalore,Wallet,4,12,1112.94
C00182,2022-05-13,60,Male,Delhi,DebitCard,61,5,595.99
C00183,2022-01-12,22,Female,Mumbai,COD,97,12,1622.71
C00184,2023-06-18,22,Female,Kolkata,UPI,17,19,1322.46
C00185,2021-07-17,47,Female,Kolkata,DebitCard,28,4,2176.2
C00186,2022-10-17,49,Male,Mumbai,Wallet,50,19,2507.51
C00187,2020-04-05,25,Female,Chennai,UPI,90,13,1769.47
C00188,2024-10-23,27,Male,Hyderabad,UPI,8,12,386.93
C00189,2021-04-29,55,Male,Delhi,DebitCard,34,13,1971.09
C00190,2023-12-01,64,Male,Delhi,UPI,59,7,449.55
C00191,2020-08-18,49,Male,Delhi,CreditCard,18,15,1964.16
C00192,2022-01-18,45,Male,Mumbai,UPI,95,12,2149.58
C00193,2024-08-05,34,Female,Chennai,COD,59,14,833.97
C00194,2023-04-09,48,Female,Bangalore,DebitCard,27,18,2512.23
C00195,2021-06-24,25,Male,Kolkata,COD,16,0,2759.93
C00196,2022-11-25,57,Male,Mumbai,Wallet,10,1,2495.33
C00197,2021-06-08,42,Male,Bangalore,COD,76,17,1123.79
C00198,2023-03-29,26,Male,Kolkata,CreditCard,22,18,1883.94
C00199,2024-09-18,19,Male,Kolkata,CreditCard,16,7,2770.0
C00200,2023-06-20,32,Female,Chennai,COD,12,2,1165.79
C00201,2023-01-14,20,Male,Hyderabad,Wallet,75,13,2514.08
C00202,2024-12-24,53,Male,Delhi,UPI,84,8,325.58
C00203,2021-07-31,21,Male,Bangalore,CreditCard,51,7,309.85
C00204,2021-11-12,31,Female,Mumbai,COD,1,16,2351.22
C00205,2021-07-10,58,Female,Bangalore,COD,27,15,2355.91
C00206,2024-05-16,58,Female,Hyderabad,COD,67,9,2430.24
C00207,2022-10-09,42,Female,Delhi,UPI,12,9,2811.07
C00208,2021-10-07,27,Male,Bangalore,DebitCard,30,5,618.35
C00209,2022-03-06,38,Male,Hyderabad,Wallet,9,16,926.36
C00210,2022-11-17,53,Female,Mumbai,DebitCard,53,15,2740.06
C00211,2024-07-01,29,Male,Chennai,Wallet,61,14,778.54
C00212,2024-04-28,44,Female,Kolkata,Wallet,54,13,2142.02
C00213,2023-09-25,57,Male,Mumbai,COD,37,3,1732.25
C00214,2024-12-26,19,Male,Delhi,CreditCard,65,3,524.62
C00215,2023-09-16,30,Female,Kolkata,COD,42,1,1070.21
C00216,2024-07-21,49,Female,Mumbai,UPI,49,10,1705.0
C00217,2024-03-09,48,Female,Mumbai,Wallet,4,3,2601.35
C00218,2023-10-03,33,Male,Mumbai,CreditCard,64,15,2210.35
C00219,2024-02-05,49,Female,Mumbai,Wallet,79,3,1979.08
C00220,2023-06-08,49,Male,Kolkata,Wallet,51,0,1639.29
C00221,2020-07-08,51,Male,Delhi,COD,91,18,1106.45
C00222,2023-06-02,28,Male,Hyderabad,CreditCard,72,1,621.96
C00223,2023-11-09,27,Male,Bangalore,CreditCard,60,8,1404.51
C00224,2023-11-01,32,Male,Chennai,Wallet,87,12,377.0
C00225,2023-07-30,34,Male,Bangalore,CreditCard,79,17,869.85
C00226,2021-09-24,57,Male,Bangalore,CreditCard,91,15,1467.71
C00227,2021-09-19,35,Male,Chennai,COD,31,15,1430.23
C00228,2022-08-30,26,Male,Kolkata,DebitCard,72,9,419.6
C00229,2024-11-03,42,Male,Delhi,UPI,94,8,1890.46
C00230,2023-07-06,57,Male,Chennai,DebitCard,58,10,1784.15
C00231,2023-10-14,31,Female,Delhi,CreditCard,82,3,510.88
C00232,2021-12-10,42,Male,Kolkata,Wallet,4,9,2846.54
C00233,2024-01-19,39,Male,Bangalore,UPI,22,2,568.33
C00234,2023-12-05,47,Male,Delhi,UPI,3,5,2608.05
C00235,2021-10-10,37,Female,Kolkata,Wallet,79,2,300.84
C00236,2020-11-13,38,Female,Kolkata,UPI,99,8,2682.16
C00237,2024-08-27,61,Female,Hyderabad,Wallet,47,2,353.24
C00238,2023-06-02,49,Female,Chennai,UPI,38,17,2346.09
C00239,2023-06-11,63,Female,Hyderabad,DebitCard,33,7,1276.57
C00240,2021-11-14,38,Female,Bangalore,UPI,78,7,2293.19
C00241,2021-10-25,52,Female,Chennai,COD,48,14,1384.71
C00242,2023-10-29,49,Male,Bangalore,Wallet,65,12,491.45
C00243,2024-08-22,47,Male,Hyderabad,UPI,26,6,2372.27
C00244,2024-06-19,56,Male,Kolkata,Wallet,8,18,492.38
C00245,2024-02-04,29,Female,Bangalore,COD,50,7,2789.73
C00246,2023-06-10,58,Female,Chennai,UPI,80,9,437.63
C00247,2024-09-11,64,Female,Chennai,UPI,38,16,1594.18
C00248,2023-02-10,35,Male,Bangalore,COD,10,0,2252.19
C00249,2024-02-29,38,Male,Chennai,COD,42,12,1361.77
C00250,2021-03-17,30,Male,Kolkata,COD,37,12,886.53
C00251,2021-07-17,38,Male,Kolkata,Wallet,26,15,2349.55
C00252,2023-07-15,25,Female,Chennai,COD,92,8,2417.6
C00253,2024-03-13,63,Female,Bangalore,Wallet,12,9,2791.28
C00254,2023-11-10,57,Male,Hyderabad,DebitCard,84,5,1315.65
C00255,2023-11-11,63,Female,Chennai,UPI,49,4,1666.88
C00256,2023-02-10,24,Male,Chennai,UPI,14,1,1280.45
C00257,2024-06-24,40,Other,Chennai,CreditCard,46,10,994.12
C00258,2024-07-06,61,Male,Chennai,DebitCard,35,8,2327.79
C00259,2022-08-09,49,Male,Bangalore,COD,29,5,1217.06
C00260,2023-01-09,28,Male,Hyderabad,COD,12,7,1456.0
C00261,2021-11-29,39,Male,Hyderabad,DebitCard,82,8,1389.92
C00262,2020-04-22,39,Male,Delhi,COD,44,8,2224.19
C00263,2020-01-02,60,Female,Chennai,CreditCard,66,7,2778.05
C00264,2021-10-03,42,Female,Chennai,Wallet,2,11,2100.24
C00265,2020-08-07,39,Female,Delhi,UPI,59,7,1573.27
C00266,2024-05-08,45,Male,Hyderabad,DebitCard,17,2,2403.85
C00267,2022-05-04,46,Female,Mumbai,UPI,10,12,2030.62
C00268,2024-10-25,30,Male,Kolkata,Wallet,18,18,463.65
C00269,2023-06-02,35,Male,Mumbai,DebitCard,22,1,558.29
C00270,2021-01-19,19,Female,Hyderabad,Wallet,83,16,402.38
C00271,2023-11-27,46,Female,Chennai,COD,58,15,1533.4
C00272,2024-07-19,38,Male,Mumbai,COD,53,3,2529.8
C00273,2023-02-27,32,Male,Bangalore,COD,1,17,1145.32
C00274,2022-12-12,44,Other,Bangalore,Wallet,88,13,1337.23
C00275,2024-09-03,48,Male,Delhi,Wallet,61,1,2755.59
C00276,2021-12-30,32,Male,Hyderabad,Wallet,89,12,2559.64
C00277,2024-08-22,40,Female,Hyderabad,UPI,31,19,2095.63
C00278,2024-09-29,41,Male,Mumbai,Wallet,31,16,1020.37
C00279,2023-12-10,61,Male,Chennai,COD,66,14,616.01
C00280,2020-09-03,30,Male,Hyderabad,CreditCard,19,19,343.36
C00281,2022-04-15,39,Female,Mumbai,Wallet,53,4,588.93
C00282,2024-01-02,60,Female,Mumbai,CreditCard,76,6,1090.01
C00283,2020-07-21,54,Female,Kolkata,COD,74,17,1789.83
C00284,2023-04-22,50,Other,Kolkata,Wallet,95,10,472.8
C00285,2020-05-02,20,Female,Hyderabad,UPI,22,17,667.82
C00286,2021-02-04,36,Male,Mumbai,UPI,23,4,788.92
C00287,2022-02-05,40,Male,Delhi,CreditCard,87,12,2006.35
C00288,2020-10-20,46,Female,Delhi,UPI,15,17,1962.63
C00289,2020-10-06,47,Female,Kolkata,UPI,26,1,1787.07
C00290,2022-06-02,56,Female,Hyderabad,UPI,3,19,976.35
C00291,2024-06-21,61,Female,Chennai,COD,87,3,1302.02
C00292,2020-07-16,64,Male,Delhi,UPI,20,12,561.06
C00293,2022-09-08,42,Male,Delhi,DebitCard,40,15,911.44
C00294,2024-03-14,54,Male,Kolkata,Wallet,39,5,2723.8
C00295,2022-01-21,64,Male,Kolkata,UPI,72,7,2945.17
C00296,2020-05-23,25,Male,Hyderabad,UPI,18,15,2048.68
C00297,2021-08-31,59,Female,Kolkata,UPI,41,12,2775.42
C00298,2023-05-09,33,Female,Bangalore,DebitCard,70,3,2035.4
C00299,2023-02-21,25,Male,Mumbai,UPI,27,1,389.63
C00300,2020-07-05,18,Male,Delhi,UPI,15,8,2991.26
C00301,2023-09-11,61,Female,Bangalore,Wallet,37,17,567.17
C00302,2021-04-08,22,Male,Chennai,DebitCard,58,16,2143.13
C00303,2023-10-04,20,Female,Bangalore,DebitCard,5,7,982.66
C00304,2024-11-29,18,Female,Hyderabad,UPI,73,14,1358.35
C00305,2021-10-21,21,Female,Chennai,DebitCard,7,8,2044.02
C00306,2022-02-02,57,Female,Chennai,CreditCard,41,16,1478.52
C00307,2022-08-12,52,Female,Kolkata,DebitCard,84,1,976.47
C00308,2021-02-06,49,Male,Bangalore,DebitCard,10,5,1203.0
C00309,2023-10-01,59,Male,Hyderabad,DebitCard,62,4,1222.18
C00310,2024-03-14,51,Male,Delhi,COD,26,16,2890.17
C00311,2020-05-26,60,Other,Kolkata,COD,68,1,2456.26
C00312,2023-03-17,42,Male,Bangalore,COD,24,17,1538.08
C00313,2022-05-13,27,Male,Delhi,DebitCard,78,9,839.52
C00314,2024-09-30,38,Female,Bangalore,CreditCard,41,9,2489.74
C00315,2021-05-03,63,Female,Kolkata,DebitCard,65,5,724.39
C00316,2022-07-17,56,Female,Delhi,UPI,17,11,868.25
C00317,2024-07-21,44,Male,Kolkata,CreditCard,24,16,1288.24
C00318,2021-07-04,44,Male,Bangalore,COD,27,12,2676.94
C00319,2020-12-03,19,Male,Chennai,Wallet,7,19,655.82
C00320,2022-05-21,58,Male,Mumbai,CreditCard,73,15,630.03
C00321,2021-10-02,30,Male,Chennai,COD,99,9,1633.73
C00322,2024-12-07,26,Male,Kolkata,CreditCard,12,1,1046.31
C00323,2021-04-17,53,Female,Kolkata,CreditCard,85,1,1835.57
C00324,2020-05-30,39,Male,Kolkata,DebitCard,3,6,1519.42
C00325,2023-12-09,59,Female,Delhi,UPI,79,5,1474.39
C00326,2023-08-14,43,Female,Hyderabad,Wallet,85,0,602.33
C00327,2024-06-22,29,Male,Kolkata,COD,10,11,680.83
C00328,2020-09-19,34,Female,Chennai,CreditCard,33,12,2516.91
C00329,2024-11-22,31,Male,Mumbai,Wallet,46,11,2691.88
C00330,2020-05-23,31,Male,Kolkata,CreditCard,59,18,933.65
C00331,2020-12-11,51,Female,Kolkata,UPI,52,8,606.34
C00332,2021-09-15,37,Male,Kolkata,Wallet,6,9,444.23
C00333,2022-10-13,28,Other,Delhi,COD,2,16,1942.4
C00334,2024-05-14,33,Male,Kolkata,CreditCard,29,17,2231.45
C00335,2022-05-30,48,Female,Chennai,UPI,40,7,1306.59
C00336,2020-01-02,23,Male,Bangalore,Wallet,97,6,2135.12
C00337,2022-06-15,36,Male,Hyderabad,CreditCard,61,8,2224.99
C00338,2023-08-20,54,Male,Kolkata,CreditCard,68,9,2825.42
C00339,2020-09-10,21,Female,Delhi,COD,68,11,475.16
C00340,2024-08-02,64,Female,Chennai,UPI,29,14,819.19
C00341,2021-03-28,21,Female,Kolkata,DebitCard,62,14,485.02
C00342,2022-11-26,37,Female,Delhi,CreditCard,60,3,2643.58
C00343,2023-03-29,27,Female,Bangalore,Wallet,84,3,2439.99
C00344,2022-10-11,41,Female,Mumbai,COD,41,0,1851.53
C00345,2020-01-09,52,Female,Kolkata,COD,87,11,525.89
C00346,2023-06-10,43,Female,Chennai,CreditCard,82,1,1037.94
C00347,2023-01-27,54,Female,Delhi,CreditCard,89,14,1103.84
C00348,2024-08-09,55,Female,Delhi,CreditCard,65,16,1814.01
C00349,2022-03-26,38,Male,Kolkata,DebitCard,64,6,996.72
C00350,2020-07-26,57,Female,Delhi,CreditCard,79,5,496.99
C00351,2023-02-28,56,Female,Mumbai,UPI,63,11,2273.06
C00352,2021-02-07,38,Male,Delhi,Wallet,98,18,1107.52
C00353,2020-05-31,27,Male,Hyderabad,CreditCard,48,0,1521.41
C00354,2020-02-23,55,Male,Hyderabad,DebitCard,20,13,644.7
C00355,2023-02-17,63,Female,Delhi,Wallet,37,3,2466.88
C00356,2024-08-23,21,Female,Kolkata,COD,64,4,1826.94
C00357,2021-09-19,62,Male,Hyderabad,CreditCard,91,0,2734.28
C00358,2021-08-09,37,Female,Chennai,Wallet,86,0,1637.77
C00359,2024-07-06,34,Female,Hyderabad,COD,5,5,2841.85
C00360,2023-12-14,24,Male,Delhi,DebitCard,34,4,2708.04
C00361,2023-12-16,21,Female,Kolkata,UPI,39,1,1856.44
C00362,2020-04-13,46,Other,Bangalore,CreditCard,67,4,2821.51
C00363,2020-09-10,31,Female,Kolkata,UPI,81,8,1172.34
C00364,2023-06-04,20,Female,Kolkata,DebitCard,62,18,1287.23
C00365,2023-02-09,41,Other,Kolkata,Wallet,88,14,422.79
C00366,2021-05-24,54,Female,Chennai,Wallet,24,12,1890.84
C00367,2024-02-05,33,Male,Mumbai,DebitCard,3,11,2249.19
C00368,2020-04-08,21,Female,Delhi,DebitCard,71,4,2388.5
C00369,2020-06-01,41,Female,Mumbai,CreditCard,89,1,704.5
C00370,2022-07-02,51,Female,Bangalore,COD,67,3,1499.23
C00371,2022-05-27,47,Male,Mumbai,UPI,79,17,777.53
C00372,2020-12-03,35,Female,Delhi,UPI,93,9,2087.74
C00373,2024-09-25,36,Male,Delhi,Wallet,50,12,726.46
C00374,2022-04-01,48,Female,Bangalore,Wallet,29,11,2741.24
C00375,2023-04-01,36,Male,Delhi,CreditCard,74,1,922.71
C00376,2024-10-09,63,Male,Bangalore,DebitCard,32,14,1086.79
C00377,2022-08-14,36,Male,Bangalore,UPI,87,13,2597.45
C00378,2024-08-31,39,Male,Delhi,CreditCard,39,9,1537.86
C00379,2020-06-09,41,Female,Hyderabad,Wallet,9,7,364.79
C00380,2024-05-22,62,Female,Bangalore,Wallet,14,14,1635.38
C00381,2022-03-11,29,Female,Delhi,UPI,68,12,528.27
C00382,2021-02-01,47,Male,Hyderabad,Wallet,64,7,2960.43
C00383,2023-07-24,55,Male,Bangalore,Wallet,20,13,1887.9
C00384,2022-03-26,48,Female,Hyderabad,COD,28,0,992.64
C00385,2024-03-07,53,Female,Chennai,DebitCard,14,12,1822.04
C00386,2023-11-16,36,Male,Kolkata,Wallet,44,7,507.54
C00387,2023-03-04,62,Female,Chennai,COD,98,17,2459.71
C00388,2023-05-03,53,Male,Hyderabad,CreditCard,77,8,2798.39
C00389,2021-02-04,47,Female,Bangalore,Wallet,95,12,2661.0
C00390,2021-10-01,50,Female,Delhi,CreditCard,97,2,1222.75
C00391,2022-11-22,35,Male,Mumbai,Wallet,39,17,1179.57
C00392,2021-11-18,45,Male,Delhi,UPI,28,9,394.74
C00393,2021-04-04,64,Female,Mumbai,COD,64,4,2058.78
C00394,2022-08-12,28,Male,Mumbai,COD,89,5,1744.24
