return_id,order_id,return_date,return_reason,refund_amount,pickup_delay_days
R002195,O002196,2023-12-10 21:00:00,Defective,3781.17,2
R014990,O014991,2023-11-15 03:00:00,Size Issue,4334.56,6
R012634,O012635,2023-04-25 08:00:00,Other,5672.7,5
R001077,O001078,2024-10-23 01:00:00,Wrong Item,4670.96,2
R006286,O006287,2024-08-29 01:00:00,Other,10679.07,3
R005933,O005934,2025-06-06 02:00:00,Other,13319.73,4
R018512,O018513,2024-08-13 09:00:00,Wrong Item,14895.03,5
R019717,O019718,2024-06-15 02:00:00,Other,3320.0,1
R013363,O013364,2024-07-06 07:00:00,Changed Mind,7319.08,1
R008072,O008073,2023-04-05 18:00:00,Defective,10338.76,6
R017020,O017021,2023-10-24 01:00:00,Defective,757.04,4
R009543,O009544,2024-02-11 20:00:00,Other,2416.41,1
R019094,O019095,2024-06-18 13:00:00,Changed Mind,3974.04,4
R013355,O013356,2023-09-19 21:00:00,Wrong Item,6997.200000000001,1
R018631,O018632,2023-09-11 21:00:00,Other,2952.52,4
R002848,O002849,2025-08-11 01:00:00,Defective,4809.33,2
R012791,O012792,2025-03-28 10:00:00,Defective,1791.3,6
R007722,O007723,2023-03-21 05:00:00,Wrong Item,3291.24,6
R000812,O000813,2025-08-11 23:00:00,Size Issue,7102.14,4
R011193,O011194,2023-04-12 13:00:00,Size Issue,13776.04,2
R005135,O005136,2023-12-03 21:00:00,Wrong Item,4696.2,4
R008510,O008511,2025-09-02 13:00:00,Changed Mind,7559.46,6
R007434,O007435,2024-05-02 04:00:00,Wrong Item,14522.2,4
R016476,O016477,2023-02-21 06:00:00,Wrong Item,3936.23,3
R000936,O000937,2025-05-15 16:00:00,Defective,4044.29,4
R011965,O011966,2023-05-25 23:00:00,Other,1029.12,6
R001692,O001693,2025-06-29 07:00:00,Changed Mind,3825.31,6
R006216,O006217,2024-07-16 06:00:00,Defective,3374.19,4
R009459,O009460,2023-04-04 00:00:00,Defective,3915.99,5
R012527,O012528,2025-01-20 20:00:00,Size Issue,3316.26,4
R015484,O015485,2023-06-25 17:00:00,Size Issue,1310.34,1
R005792,O005793,2023-09-13 16:00:00,Changed Mind,8458.36,4
R012266,O012267,2023-03-26 15:00:00,Size Issue,1550.58,6
R002221,O002222,2024-10-25 23:00:00,Defective,1091.44,3
R015757,O015758,2024-02-04 17:00:00,Size Issue,14545.5,3
R004693,O004694,2024-03-21 06:00:00,Defective,4500.72,5
R010108,O010109,2025-01-16 07:00:00,Wrong Item,7615.38,5
R005107,O005108,2024-08-01 05:00:00,Changed Mind,4142.2,1
R013480,O013481,2023-08-03 17:00:00,Wrong Item,4592.64,1
R004745,O004746,2023-10-24 11:00:00,Wrong Item,14494.619999999999,6
R001604,O001605,2023-04-23 18:00:00,Changed Mind,9808.68,3
R017395,O017396,2023-05-17 11:00:00,Other,3665.66,3
R016863,O016864,2023-03-10 10:00:00,Other,8167.96,6
R008213,O008214,2025-05-31 07:00:00,Other,7700.549999999999,2
R001092,O001093,2023-07-30 06:00:00,Other,3166.95,5
R013884,O013885,2024-12-18 21:00:00,Changed Mind,1620.87,5
R006311,O006312,2024-04-02 20:00:00,Other,7626.33,4
R009012,O009013,2023-03-28 21:00:00,Changed Mind,5545.62,1
R000351,O000352,2023-12-26 10:00:00,Wrong Item,1320.8,1
R014782,O014783,2023-03-04 09:00:00,Defective,11082.64,4
R001530,O001531,2024-08-26 20:00:00,Other,2091.48,4
R013591,O013592,2023-12-25 00:00:00,Wrong Item,8691.93,5
R015215,O015216,2024-03-11 17:00:00,Changed Mind,8577.84,5
R011540,O011541,2024-10-25 09:00:00,Size Issue,1502.04,1
R000218,O000219,2023-03-02 17:00:00,Changed Mind,540.73,2
R006813,O006814,2025-07-20 09:00:00,Defective,4208.27,4
R005357,O005358,2023-06-18 02:00:00,Changed Mind,9793.68,2
R015729,O015730,2023-01-30 23:00:00,Defective,12684.420000000002,3
R013043,O013044,2025-05-04 10:00:00,Other,11191.6,2
R001453,O001454,2023-05-08 10:00:00,Wrong Item,2317.6,5
R014932,O014933,2024-02-09 22:00:00,Wrong Item,5434.26,5
R004740,O004741,2024-03-24 07:00:00,Size Issue,9952.12,6
R002814,O002815,2023-11-12 19:00:00,Other,2039.22,6
R007886,O007887,2024-08-11 09:00:00,Defective,1320.06,2
R004973,O004974,2025-01-03 03:00:00,Size Issue,2767.11,6
R001182,O001183,2024-06-01 09:00:00,Size Issue,3919.32,6
R010035,O010036,2024-03-14 07:00:00,Defective,3685.99,1
R003947,O003948,2023-02-28 18:00:00,Other,14286.51,2
R003189,O003190,2024-06-22 21:00:00,Other,3335.84,6
R014480,O014481,2025-07-12 04:00:00,Changed Mind,2034.32,6
R019826,O019827,2023-10-23 16:00:00,Wrong Item,11558.4,2
R009623,O009624,2023-09-11 06:00:00,Defective,2976.51,1
R001006,O001007,2023-07-30 11:00:00,Defective,9223.28,3
R002325,O002326,2024-08-07 20:00:00,Other,4423.0,3
R010645,O010646,2025-09-06 00:00:00,Defective,7295.58,6
R019523,O019524,2025-06-29 11:00:00,Changed Mind,8391.36,4
R017725,O017726,2023-12-17 16:00:00,Changed Mind,2634.57,3
R005743,O005744,2024-01-09 05:00:00,Defective,1383.26,5
R012680,O012681,2024-10-07 13:00:00,Defective,14043.329999999998,5
R014583,O014584,2025-02-10 02:00:00,Wrong Item,2326.08,4
R019257,O019258,2024-11-08 16:00:00,Size Issue,5308.74,6
R011881,O011882,2025-08-11 04:00:00,Changed Mind,5420.78,1
R001027,O001028,2023-12-06 12:00:00,Defective,6424.56,6
R004069,O004070,2024-07-21 18:00:00,Wrong Item,11870.84,1
R018572,O018573,2025-04-30 03:00:00,Other,4785.22,6
R014652,O014653,2024-03-22 22:00:00,Other,4204.38,6
R006650,O006651,2023-11-28 07:00:00,Changed Mind,4820.7,1
R015783,O015784,2024-05-20 18:00:00,Wrong Item,4204.71,1
R017648,O017649,2024-11-16 13:00:00,Size Issue,6659.64,1
R004622,O004623,2025-01-22 20:00:00,Changed Mind,7542.52,5
R010385,O010386,2023-12-27 22:00:00,Defective,17506.48,3
R013670,O013671,2024-05-17 08:00:00,Size Issue,4632.44,6
R014046,O014047,2025-05-26 13:00:00,Defective,2567.55,2
R001962,O001963,2023-02-17 13:00:00,Defective,14464.29,6
R019874,O019875,2024-01-16 12:00:00,Other,7196.5,4
R001599,O001600,2023-04-07 13:00:00,Changed Mind,2953.96,5
R009675,O009676,2025-05-26 01:00:00,Changed Mind,8466.8,6
R010952,O010953,2024-02-10 18:00:00,Changed Mind,4792.08,4
R004333,O004334,2023-11-10 09:00:00,Size Issue,10847.31,2
R012099,O012100,2025-03-21 07:00:00,Changed Mind,15947.4,2
R006955,O006956,2025-07-09 17:00:00,Other,9089.98,4
R018821,O018822,2025-04-24 22:00:00,Size Issue,1421.65,3
R008545,O008546,2025-02-17 22:00:00,Other,13046.82,1
R015974,O015975,2025-06-25 15:00:00,Size Issue,18560.08,3
R013722,O013723,2023-11-04 13:00:00,Changed Mind,3412.24,1
R000695,O000696,2025-04-03 07:00:00,Wrong Item,4984.06,3
R015630,O015631,2025-03-11 12:00:00,Other,2349.3,5
R013589,O013590,2023-07-04 21:00:00,Defective,9555.7,5
R014521,O014522,2023-11-02 11:00:00,Defective,547.63,1
R019917,O019918,2025-04-02 05:00:00,Size Issue,2980.66,4
R009770,O009771,2023-12-21 07:00:00,Wrong Item,3396.6,1
R013377,O013378,2024-11-18 12:00:00,Size Issue,6327.34,6
R001034,O001035,2023-04-10 05:00:00,Size Issue,3783.76,5
R010842,O010843,2023-02-25 02:00:00,Other,16756.28,4
R016592,O016593,2023-07-27 00:00:00,Size Issue,1215.34,1
R010421,O010422,2023-09-06 15:00:00,Size Issue,1262.1,3
R010979,O010980,2024-04-20 01:00:00,Size Issue,4034.42,3
R002127,O002128,2024-10-21 11:00:00,Defective,13000.72,6
R012187,O012188,2023-06-03 21:00:00,Wrong Item,3041.64,1
R005970,O005971,2025-06-30 17:00:00,Wrong Item,7537.68,5
R013225,O013226,2023-05-21 03:00:00,Defective,16219.88,1
R000993,O000994,2025-01-08 23:00:00,Size Issue,10668.36,3
R015084,O015085,2024-04-20 21:00:00,Other,13218.04,3
R014845,O014846,2023-10-23 20:00:00,Wrong Item,2889.76,2
R014945,O014946,2024-08-15 20:00:00,Size Issue,1358.46,3
R000447,O000448,2025-08-11 10:00:00,Size Issue,10768.619999999999,1
R017277,O017278,2023-06-20 14:00:00,Changed Mind,4638.35,4
R005453,O005454,2023-04-01 07:00:00,Size Issue,2563.23,1
R003211,O003212,2023-11-18 18:00:00,Defective,6644.06,6
R005561,O005562,2024-02-21 23:00:00,Changed Mind,1485.76,5
R018911,O018912,2024-12-12 12:00:00,Defective,6800.08,3
R003210,O003211,2023-08-08 19:00:00,Other,2127.21,2
R013813,O013814,2024-03-10 04:00:00,Defective,4933.53,5
R008966,O008967,2024-09-03 05:00:00,Other,2467.04,3
R017653,O017654,2025-07-05 22:00:00,Wrong Item,3933.88,3
R010649,O010650,2023-11-30 07:00:00,Changed Mind,4683.77,6
R019714,O019715,2024-09-22 03:00:00,Wrong Item,10322.55,5
R003971,O003972,2023-03-26 16:00:00,Other,3860.08,3
R010807,O010808,2023-08-31 10:00:00,Changed Mind,19052.48,5
R019544,O019545,2023-01-18 20:00:00,Other,2076.85,4
R011366,O011367,2023-04-01 17:00:00,Wrong Item,10167.42,6
R003778,O003779,2023-03-16 16:00:00,Defective,9740.44,2
R013079,O013080,2025-06-05 10:00:00,Defective,3374.86,5
R006352,O006353,2025-08-06 06:00:00,Wrong Item,6243.68,1
R004007,O004008,2024-08-19 22:00:00,Changed Mind,1076.96,1
R003776,O003777,2025-02-13 02:00:00,Changed Mind,891.92,3
R017147,O017148,2023-10-14 05:00:00,Other,4770.84,1
R014104,O014105,2025-02-20 17:00:00,Defective,3635.32,1
R019145,O019146,2023-02-03 16:00:00,Defective,1233.78,5
R019183,O019184,2024-05-16 03:00:00,Size Issue,2718.55,5
R008426,O008427,2024-07-14 06:00:00,Changed Mind,5145.64,2
R004337,O004338,2025-08-20 13:00:00,Defective,3172.5299999999997,4
R008117,O008118,2025-06-02 10:00:00,Changed Mind,2352.37,2
R007763,O007764,2023-10-30 19:00:00,Defective,1683.95,1
R014012,O014013,2025-07-05 05:00:00,Wrong Item,7262.76,6
R013651,O013652,2024-11-05 14:00:00,Changed Mind,500.5,2
R000438,O000439,2024-07-14 18:00:00,Other,3072.12,2
R016533,O016534,2024-02-11 03:00:00,Defective,2193.6000000000004,6
R003269,O003270,2023-02-16 23:00:00,Size Issue,7784.9400000000005,5
R003752,O003753,2024-06-12 20:00:00,Defective,2820.0,5
R009113,O009114,2023-04-20 02:00:00,Changed Mind,8824.06,5
R009440,O009441,2023-09-15 13:00:00,Defective,4457.64,2
R001739,O001740,2023-11-21 06:00:00,Other,7547.25,5
R000606,O000607,2023-12-11 18:00:00,Size Issue,14937.630000000001,6
R017085,O017086,2023-08-03 03:00:00,Other,3808.62,1
R012998,O012999,2023-03-05 16:00:00,Defective,1804.66,6
R016972,O016973,2024-06-15 03:00:00,Size Issue,6447.66,2
R018366,O018367,2023-09-22 01:00:00,Changed Mind,3160.5,5
R015683,O015684,2024-01-20 19:00:00,Defective,4069.4700000000003,1
R011037,O011038,2025-07-26 20:00:00,Wrong Item,8327.8,2
R005746,O005747,2023-06-13 19:00:00,Defective,7078.59,6
R011584,O011585,2025-01-09 03:00:00,Changed Mind,3557.8,6
R006270,O006271,2025-09-13 23:00:00,Wrong Item,3202.17,3
R008851,O008852,2024-12-22 20:00:00,Other,10257.6,3
R018408,O018409,2024-11-19 23:00:00,Size Issue,12420.68,2
R006600,O006601,2025-01-30 03:00:00,Other,3351.69,6
R011378,O011379,2023-07-18 12:00:00,Other,11620.47,3
R017189,O017190,2024-07-12 11:00:00,Size Issue,6582.36,6
R011605,O011606,2023-03-26 18:00:00,Defective,2302.76,3
R006909,O006910,2024-07-30 23:00:00,Defective,9897.119999999999,1
R000738,O000739,2023-11-28 06:00:00,Changed Mind,4682.92,5
R001994,O001995,2023-10-14 09:00:00,Other,702.61,1
R000119,O000120,2025-03-13 00:00:00,Changed Mind,8845.26,1
R014926,O014927,2024-04-20 23:00:00,Other,1006.02,6
R017609,O017610,2023-03-06 08:00:00,Defective,7783.96,4
R017436,O017437,2024-09-09 14:00:00,Wrong Item,7257.96,4
R018553,O018554,2024-05-28 07:00:00,Size Issue,14920.08,3
R007293,O007294,2024-05-10 05:00:00,Wrong Item,4248.23,5
R003405,O003406,2023-08-17 12:00:00,Wrong Item,7414.84,6
R010537,O010538,2024-06-17 12:00:00,Changed Mind,17076.48,1
R018466,O018467,2025-02-03 02:00:00,Changed Mind,7391.039999999999,5
R008626,O008627,2025-01-28 16:00:00,Defective,7346.6,3
R003481,O003482,2025-08-25 18:00:00,Size Issue,1751.82,3
R017818,O017819,2025-09-04 14:00:00,Other,6530.0,5
R000127,O000128,2024-02-20 02:00:00,Changed Mind,9504.78,3
R013426,O013427,2025-07-29 03:00:00,Changed Mind,18447.64,5
R010610,O010611,2025-07-12 07:00:00,Changed Mind,10650.12,1
R015273,O015274,2025-03-19 18:00:00,Changed Mind,747.54,5
R019580,O019581,2023-08-04 12:00:00,Size Issue,3422.36,3
R019285,O019286,2023-08-07 06:00:00,Defective,13469.699999999999,2
R012822,O012823,2023-07-05 12:00:00,Wrong Item,14234.400000000001,1
R003073,O003074,2025-05-11 20:00:00,Size Issue,3380.31,5
R002380,O002381,2024-10-06 00:00:00,Size Issue,1910.31,2
R002483,O002484,2024-12-06 16:00:00,Defective,3768.63,6
R003461,O003462,2024-05-12 03:00:00,Wrong Item,9196.72,5
R015231,O015232,2024-09-04 06:00:00,Other,4897.81,3
R007458,O007459,2025-06-21 07:00:00,Changed Mind,2415.71,3
R015884,O015885,2024-12-05 19:00:00,Wrong Item,782.28,4
R006885,O006886,2023-09-08 16:00:00,Size Issue,11468.789999999999,1
R015097,O015098,2024-08-10 10:00:00,Defective,1955.41,3
R018684,O018685,2024-11-26 14:00:00,Other,10512.44,1
R014970,O014971,2024-05-18 13:00:00,Defective,4674.06,2
R000803,O000804,2025-01-27 06:00:00,Size Issue,15058.64,3
R000474,O000475,2024-10-30 09:00:00,Wrong Item,14567.36,6
R008608,O008609,2024-12-17 00:00:00,Defective,7269.08,4
R006482,O006483,2023-08-06 19:00:00,Changed Mind,12081.72,6
R018287,O018288,2024-01-31 21:00:00,Defective,929.7,3
R005557,O005558,2024-01-02 10:00:00,Changed Mind,5892.72,2
R013948,O013949,2025-02-05 18:00:00,Changed Mind,8767.72,2
R008891,O008892,2024-11-08 01:00:00,Other,9916.44,3
R012521,O012522,2025-02-08 22:00:00,Size Issue,6592.5,5
R004448,O004449,2024-11-26 10:00:00,Size Issue,3998.8500000000004,5
R000484,O000485,2023-10-19 03:00:00,Wrong Item,2551.28,1
R010422,O010423,2025-01-01 06:00:00,Wrong Item,6773.16,5
R019411,O019412,2024-12-12 13:00:00,Changed Mind,10078.68,1
R014900,O014901,2023-07-04 10:00:00,Wrong Item,5900.2,4
R011226,O011227,2024-07-10 00:00:00,Other,360.33,6
R019132,O019133,2024-07-19 08:00:00,Defective,9914.1,6
R007920,O007921,2025-08-12 12:00:00,Wrong Item,7038.4,2
R007911,O007912,2024-08-23 13:00:00,Size Issue,9624.02,5
R002766,O002767,2025-03-22 18:00:00,Other,12507.28,6
R014865,O014866,2025-01-07 18:00:00,Size Issue,3938.86,4
R016506,O016507,2025-07-27 10:00:00,Size Issue,1372.33,5
R011688,O011689,2023-03-14 23:00:00,Wrong Item,7598.789999999999,5
R004037,O004038,2023-09-21 22:00:00,Changed Mind,2654.25,4
R000856,O000857,2024-06-06 05:00:00,Defective,8740.5,6
R016136,O016137,2023-09-17 19:00:00,Other,2397.23,2
R008830,O008831,2023-10-15 12:00:00,Changed Mind,2600.22,3
R008803,O008804,2023-09-21 12:00:00,Other,1403.04,5
R011838,O011839,2025-03-06 19:00:00,Changed Mind,7779.68,6
R003826,O003827,2024-03-11 02:00:00,Size Issue,16411.88,5
R018127,O018128,2023-12-05 22:00:00,Defective,3232.14,1
R005995,O005996,2024-03-08 23:00:00,Defective,12937.5,2
R000503,O000504,2024-03-11 11:00:00,Wrong Item,4558.26,2
R002959,O002960,2025-08-11 05:00:00,Wrong Item,2068.89,1
